Rank,Player_x,Position,School,Birthday,Age,Height,Wingspan,Weight (lbs),Hand Width,Reach,Standing Vert (in),Max Vert (in),Lane (sec),Shuttle (sec),3/4 Sprint (sec),Ovr. Rank,Avg. Rank,ESPN,The Athletic,CBS Sports,Tankathon,The Ringer,No Ceilings,Yahoo,GP,GS,MP,PTS,OREB,DREB,TREB,AST,STL,BLK,TOV,PF,FGM,FGA,FG%,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%,TS%,PTS/36,OREB/36,DREB/36,TREB/36,AST/36,STL/36,BLK/36,TOV/36,PF/36,FGA/36,2PA/36,3PA/36,FTA/36,Info,Predicted_WS/48,Predicted_PPG,Predicted_VORP,Predicted_raptor_onoff_offense,Predicted_raptor_onoff_defense,Predicted_raptor_offense,Predicted_raptor_defense,Predicted_war_total,Predicted_predator_defense,Predicted_predator_total,match_name,match_score,    PK(OVR),TEAM,Player_y,HT,WT,POS,SCHOOL
43,"Simpson, KJ",PG,Colorado,8/8/2002,21.88,"6'1.5""","6'4.5""",187,"9.25""","7'9.5""",32.5,40.5,10.49,2.98,3.24,43,43.86,52.0,53.0,35.0,45.0,35.0,34.0,53.0,37,37.0,35.1,19.7,0.8,5.1,5.8,4.9,1.6,0.1,2.2,2.5,6.6,13.8,0.475,4.4,8.9,0.497,2.1,4.9,0.434,4.4,5.0,0.876,0.694,20.2,0.8,5.2,5.9,5.0,1.6,0.1,2.3,2.6,6.8,9.1,5.0,5.1,https://www.sports-reference.com/cbb/players/kj-simpson-1.html,0.16794704392982016,14.533547726385518,32.513293676491806,1.2984108451010998,-0.6670039523987719,3.011227086469688,-1.2908123609424975,6.226353288943342,-0.8857774203808377,0.6006279086265329,KJ Simpson,95.0,42.0,Charlotte,KJ Simpson,6-0,187.0,PG,Colorado
39,"Bona, Adem",C,UCLA,3/28/2003,21.24,"6'9.5""","7'3.75""",243,"10""","9'0""",35.0,40.0,11.01,3.01,3.15,39,41.86,33.0,41.0,43.0,44.0,38.0,41.0,53.0,33,33.0,26.5,12.4,2.0,3.9,5.9,1.2,1.1,1.8,2.5,3.6,4.6,7.9,0.588,4.6,7.8,0.591,0.0,0.0,0.0,3.1,4.5,0.696,0.756,16.8,2.7,5.3,8.0,1.6,1.5,2.4,3.4,4.9,6.2,10.6,0.0,6.1,https://www.sports-reference.com/cbb/players/adem-bona-1.html,0.16621131266623368,11.672791926422056,20.670011961576485,-0.4959708690434991,-0.06529276349933479,-1.4722195752452207,0.38390232999234813,2.8404131027668154,0.09334337173188917,-1.336662866422583,Adem Bona,95.0,41.0,Philadelphia,Adem Bona,6-8,243.0,C,UCLA
169,"Boone, Kalib",PF,UNLV,11/30/2000,23.57,"6'9""",,215,,,,,,,,112,,,,,,,,,32,25.0,23.2,11.4,2.1,3.1,5.2,1.3,1.1,1.6,1.9,2.8,4.6,7.8,0.59,4.6,7.8,0.59,0.0,0.0,0.0,2.2,3.2,0.696,0.703,17.7,3.3,4.8,8.1,2.0,1.7,2.5,2.9,4.3,7.1,12.1,0.0,5.0,https://www.sports-reference.com/cbb/players/kalib-boone-1.html,0.16586206266623368,11.672791926422056,20.400877437766958,-0.4685310491450563,-0.05889990609287646,-1.5028190992777213,0.4165433845227325,2.816682785472311,0.1302543856843892,-1.336662866422583,,,,,,,,,
92,"Tomlin, NaeQwon",PF,Memphis,1/1/2001,23.48,"6' 9.5""",7' 2.50'',205,10.0,9' 1.00'',27.5,32.5,11.63,3.54,3.43,92,76.57,77.0,109.0,83.0,77.0,70.0,67.0,53.0,21,11.0,26.9,14.0,2.3,3.7,6.0,0.7,0.8,1.1,1.0,3.1,5.4,9.0,0.601,4.4,6.4,0.681,1.0,2.5,0.396,2.3,3.0,0.774,0.749,18.7,3.1,5.0,8.0,0.9,1.1,1.5,1.3,4.1,7.2,8.6,3.3,4.0,https://www.sports-reference.com/cbb/players/naeqwan-tomlin-1.html,0.16566783799598625,10.166618802197638,6.191042667639875,-0.3147263409721852,0.01515361876245948,-1.0617150289477069,-0.18343491271260198,1.435471886887097,-0.3300045658958103,-1.25865854546302,,,,,,,,,
70,"Rubstavicius, Mantas",SF,Australia,5/6/2002,22.14,"6'7""","6'7""",190,,,,,,,,70,67.43,64.0,66.0,83.0,69.0,70.0,67.0,53.0,23,,19.8,9.5,0.7,1.5,2.1,1.1,0.8,0.1,1.0,2.5,3.2,6.0,0.525,1.9,3.1,0.611,1.3,2.9,0.433,1.9,2.3,0.811,0.747,17.3,1.3,2.7,3.8,2.0,1.5,0.2,1.8,4.5,5.8,5.6,5.3,4.2,https://www.basketball-reference.com/international/players/mantas-rubstavicius-1.html,0.16565327712061906,15.287274914845616,20.112206668577542,1.4102336982448855,0.15872838431013056,-0.22375458353025973,0.6562237435435472,4.440447779113667,0.5108989623836152,0.40685805474886116,,,,,,,,,
65,"Jones, Isaac",C,Washington State,7/11/2000,23.96,"6'9""","7'3""",235,"10.25""","9'0""",29.0,35.0,11.49,3.0,3.38,65,62.57,59.0,69.0,57.0,63.0,70.0,67.0,53.0,35,34.0,31.7,15.3,2.3,5.3,7.6,1.5,0.5,1.1,1.9,2.0,5.7,9.9,0.575,5.7,9.5,0.596,0.0,0.4,0.071,3.9,5.5,0.712,0.749,17.4,2.6,6.0,8.6,1.7,0.6,1.2,2.2,2.3,6.5,10.8,0.5,6.2,https://www.sports-reference.com/cbb/players/isaac-jones-3.html,0.16475805753087688,9.590396625538569,6.564107894460679,-0.9792625835352992,-0.5667270364720625,-1.6568152628027901,-0.07849873674017788,1.7487031975533003,-0.2277370531144017,-1.784473794074441,,,,,,,,,
90,"Battle, Jamison",SF,Ohio State,5/10/2001,23.13,"6'7""","6'9""",220,,,,,,,,90,76.14,87.0,96.0,83.0,77.0,70.0,67.0,53.0,35,35.0,31.4,15.3,1.2,4.0,5.2,1.4,0.4,0.2,1.6,2.0,5.1,10.9,0.469,2.5,4.9,0.512,2.6,6.0,0.433,2.5,2.7,0.926,0.677,17.5,1.4,4.6,6.0,1.6,0.5,0.2,1.8,2.3,5.8,5.6,6.9,3.1,https://www.sports-reference.com/cbb/players/jamison-battle-1.html,0.1641446015440099,19.1033006182636,37.37928594533262,3.157998044623199,-0.6869403228068766,2.36921231062705,-1.4437147288206813,5.611788546083473,-1.4472285113000023,1.169920470303237,,,,,,,,,
161,"Ivisic, Zvonimir",PF,Kentucky,8/9/2003,20.88,"7'2""",,220,,,,,,,,75,,,,,,,,,15,0.0,11.7,5.5,1.1,2.2,3.3,0.6,0.3,1.3,1.0,1.5,2.0,3.5,0.577,1.6,2.4,0.667,0.4,1.1,0.375,1.1,1.5,0.773,0.716,16.9,3.4,6.8,10.2,1.8,0.9,4.0,3.1,4.6,6.2,7.4,3.4,4.6,https://www.sports-reference.com/cbb/players/zvonimir-ivisic-1.html,0.16325541887886275,9.703181224210692,6.670800970042722,-0.32247583970712823,0.2301919987209392,-1.0665105163202826,-0.273183828268233,1.5163670096307174,-0.39831880624474364,-1.2528969153455878,,,,,,,,,
179,"Raynaud, Maxime",C,Stanford,4/7/2003,21.22,"7'1""",,235,,,,,,,,125,,,,,,,,,32,31.0,29.1,15.5,2.3,7.3,9.6,2.0,0.7,0.8,2.5,2.3,6.3,11.1,0.567,5.6,9.2,0.61,0.7,1.9,0.361,2.2,2.8,0.784,0.677,19.2,2.8,9.0,11.9,2.5,0.9,1.0,3.1,2.8,7.8,11.4,2.4,3.5,https://www.sports-reference.com/cbb/players/maxime-raynaud-1.html,0.1611950271270924,11.242599729857819,13.145745937197836,0.37899291136987506,-0.056030063290077106,-0.3600434434210408,-0.19267993098413572,2.352219788191884,-0.5020304350426137,-0.1276653006510097,,,,,,,,,
147,"Murray-Boyles, Collin",PF,South Carolina,6/10/2005,19.04,"6'7""",,231,,,,,,,,74,,,,,,,,,28,19.0,22.8,10.4,2.4,3.3,5.7,1.8,1.0,1.0,1.2,2.4,4.2,7.0,0.597,4.2,6.8,0.613,0.0,0.2,0.0,2.1,3.1,0.667,0.713,16.4,3.8,5.2,9.0,2.8,1.6,1.6,1.9,3.8,6.6,10.7,0.3,4.9,https://www.sports-reference.com/cbb/players/collin-murray-boyles-1.html,0.16015990811742575,6.331583018225799,5.05508566899867,-3.6885416638787456,-0.9899085411108044,-1.5817157579800372,0.4914921969146612,1.1826227746583502,0.8005198625302011,-1.3450166342661445,,,,,,,,,
67,"Dante, N'Faly",C,Oregon,10/19/2001,22.68,"6'11.25""","7'6""",260,"10""","9'3""",27.0,33.0,11.55,3.04,3.23,67,64.14,68.0,63.0,62.0,66.0,70.0,67.0,53.0,22,21.0,31.5,17.0,2.8,6.4,9.2,1.6,1.7,1.9,2.4,2.1,7.0,10.0,0.695,7.0,10.0,0.695,0.0,0.0,0.0,3.1,5.0,0.613,0.828,19.4,3.2,7.3,10.5,1.8,1.9,2.2,2.7,2.4,8.0,11.4,0.0,5.7,https://www.sports-reference.com/cbb/players/nfaly-dante-1.html,0.1600274893460984,7.808847251410985,9.988041669573494,-7.6689135404918725,-1.1532497746413788,-4.029045014046927,0.43046978302938543,2.353012501799162,0.2693350872420986,-3.1234251341728303,,,,,,,,,
22,"Ware, Kel'el",C,Indiana,4/20/2004,20.18,"7'1""","7'4.5""",230,"10.25""","9'4.5""",32.5,36.0,10.97,2.91,3.29,22,23.29,24.0,26.0,27.0,19.0,20.0,24.0,23.0,30,30.0,32.2,15.9,2.1,7.8,9.9,1.5,0.6,1.9,1.6,2.0,6.3,10.7,0.586,5.7,9.4,0.609,0.6,1.3,0.425,2.8,4.5,0.634,0.724,17.8,2.3,8.7,11.1,1.7,0.7,2.1,1.8,2.2,7.0,10.5,1.5,5.0,https://www.sports-reference.com/cbb/players/kelel-ware-1.html,0.15829420738465852,7.909424768584504,12.995031368328087,-1.9251489925060048,-0.2231146250715896,-2.0303058075155156,0.7855640122057782,1.6854230035331184,0.5173094676195895,-1.3901114605114537,Kel'el Ware,95.0,15.0,Miami,Kel'el Ware,6-10,210.0,C,Indiana
64,"Hukporti, Ariel",C,Australia,4/12/2002,22.2,"7'0""","7'2.5""",246,"10.25""","9'3""",,,,,,64,61.43,63.0,59.0,64.0,64.0,70.0,57.0,53.0,28,,18.4,8.4,2.4,4.6,7.0,0.7,0.6,1.5,1.7,2.9,3.2,5.4,0.596,3.2,5.4,0.596,0.0,0.0,0.0,2.0,3.2,0.618,0.74,16.4,4.7,9.0,13.7,1.4,1.2,2.9,3.3,5.7,6.3,10.6,0.0,6.3,https://www.basketball-reference.com/international/players/ariel-hukporti-1.html,0.15589296229158936,7.658569278948249,6.990497000203233,-2.4760946640515415,-0.4353964979044798,-2.4428288043531112,1.0339871051976879,1.5013734368147866,0.7314802668967824,-1.5695387448965057,Ariel Hukporti,95.0,58.0,Dallas,Ariel Hukporti,6-10,246.0,C,Germany
62,"Freeman, Enrique",PF,Akron,7/29/2000,23.91,6' 8.5'',7' 2.00'',212,10.0,9' 0.00'',30.5,35.0,10.99,3.04,3.26,62,60.86,57.0,60.0,58.0,61.0,70.0,67.0,53.0,35,35.0,32.5,18.6,3.6,9.4,12.9,1.6,0.8,1.7,2.5,2.8,6.7,11.4,0.584,6.1,9.9,0.617,0.6,1.5,0.37,4.7,6.5,0.728,0.793,20.6,4.0,10.4,14.3,1.8,0.9,1.9,2.8,3.1,7.4,11.0,1.7,7.2,https://www.sports-reference.com/cbb/players/enrique-freeman-1.html,0.15469060174998195,9.883687999620399,5.6116635791913225,-0.46657163410225216,2.3799287959603435,-0.9096044125430454,0.28042845097904634,1.2666764947016627,-0.16863822149192814,-1.4215712352820855,Enrique Freeman,95.0,50.0,Indiana,Enrique Freeman,6-7,212.0,PF,Akron
85,"LeDee, Jaedon",SF,San Diego State,7/25/1999,24.92,"6'9""","6'11""",240,,,,,,,,85,74.86,88.0,86.0,83.0,77.0,70.0,67.0,53.0,36,36.0,32.6,21.4,3.4,5.0,8.4,1.3,1.2,0.5,2.4,2.4,7.3,13.1,0.56,6.8,11.8,0.572,0.6,1.3,0.444,6.3,8.6,0.734,0.797,23.6,3.8,5.5,9.3,1.4,1.3,0.6,2.7,2.7,8.1,13.0,1.4,9.5,https://www.sports-reference.com/cbb/players/jaedon-ledee-1.html,0.1543750208829616,11.832136587741852,25.001046751299715,-0.5403573109119766,0.02677313682816763,0.5457024853767827,-0.10208702155750143,3.5803277552232,-0.20347678989290022,-0.4838191112175614,,,,,,,,,
153,"Mitchell, Dillon",SF,Texas,10/3/2003,20.73,"6'7""","6'10""",193,,,,,,,,66,,,,,,,,,34,33.0,29.0,9.6,1.8,5.7,7.5,1.4,1.0,0.9,1.4,1.7,4.1,6.9,0.585,4.1,6.7,0.605,0.0,0.2,0.0,1.5,2.6,0.598,0.67,11.9,2.2,7.1,9.3,1.7,1.2,1.1,1.7,2.1,5.1,8.3,0.2,3.2,https://www.sports-reference.com/cbb/players/dillon-mitchell-1.html,0.1531236413511734,10.207787912110428,14.062027807671917,-2.7065770407614966,-0.46173103232131835,-2.185069309224035,0.1756770359276548,2.221491773316293,0.2990288568428652,-1.7118989197240366,,,,,,,,,
48,"Ighodaro, Oso",C,Marquette,7/14/2002,21.95,"6'10.75""","6'11""",222,"10""","8'8.5""",35.0,39.5,11.25,3.12,3.09,48,48.71,58.0,42.0,51.0,40.0,45.0,52.0,53.0,36,36.0,32.5,13.4,2.6,4.3,6.9,2.9,1.1,1.3,1.8,2.2,5.4,9.4,0.576,5.4,9.4,0.58,0.0,0.1,0.0,2.5,4.1,0.623,0.693,14.8,2.9,4.8,7.6,3.2,1.2,1.4,2.0,2.4,6.0,10.4,0.1,4.5,https://www.sports-reference.com/cbb/players/oso-ighodaro-1.html,0.1529048365047267,7.157775098987673,5.256630476960556,-1.3694352590299712,-0.002119655362142201,-1.9687867184107373,0.36463657243453673,1.0396727635665188,-0.03556749777856312,-1.7365606509927576,,,,,,,,,
160,"Bradshaw, Aaron",C,Kentucky,5/14/2004,20.11,"7'0""","7'4""",210,,,,,,,,76,,,,,,,,,26,10.0,13.7,4.9,1.3,2.0,3.3,0.3,0.3,0.7,0.3,2.0,1.9,3.3,0.576,1.7,2.7,0.634,0.2,0.5,0.286,1.0,1.7,0.568,0.69,12.9,3.4,5.3,8.7,0.8,0.8,1.8,0.8,5.3,5.0,7.1,1.3,4.5,https://www.sports-reference.com/cbb/players/aaron-bradshaw-1.html,0.15257722485301806,6.087497799221321,4.752354989866593,-4.09630137392077,1.7641011441795666,-1.114507985436465,-0.2923018226565249,0.7179010170180666,-0.20424096349404472,-0.6826122380903209,,,,,,,,,
74,"Watson, Anton",PF,Gonzaga,10/6/2000,23.72,"6'8""","7'0""",241,,,,,,,,74,69.86,75.0,64.0,83.0,77.0,70.0,67.0,53.0,35,35.0,31.3,14.5,2.2,4.9,7.1,2.6,1.5,0.7,1.4,2.3,5.8,10.0,0.578,5.2,8.6,0.607,0.6,1.5,0.412,2.3,3.5,0.653,0.705,16.7,2.5,5.6,8.2,3.0,1.7,0.8,1.6,2.6,6.7,9.9,1.7,4.0,https://www.sports-reference.com/cbb/players/anton-watson-1.html,0.15146125476433592,7.657210656777158,5.914292486933979,-1.6170097473189964,-0.3084865955754204,-1.6246748231125323,-0.3110421324496433,0.9581791806019376,-0.2582105595772571,-1.489647840578027,Anton Watson,95.0,54.0,Boston,Anton Watson,6-7,233.0,PF,Gonzaga
42,"Mitchell, Ajay",PG,UC Santa Barbara,6/25/2002,22.0,"6'4.5""","6'6.25""",197,"8.5""","8'5""",28.0,33.5,11.12,2.95,3.11,42,43.29,41.0,30.0,52.0,37.0,50.0,40.0,53.0,29,29.0,31.5,20.0,0.2,3.8,4.0,4.0,1.2,0.4,2.6,2.6,6.7,13.3,0.504,5.6,10.4,0.535,1.1,2.9,0.393,5.4,6.3,0.858,0.731,22.9,0.2,4.3,4.6,4.6,1.4,0.5,3.0,3.0,7.7,11.9,3.3,7.2,https://www.sports-reference.com/cbb/players/ajay-mitchell-1.html,0.149362216463334,12.150817126517481,19.44621480504984,2.3070188980616706,0.3418435049228075,1.3494419998574336,0.027341385836098367,4.8653700880248065,0.3430042631684306,1.835326661424498,Ajay Mitchell,95.0,38.0,New York,Ajay Mitchell,6-3,197.0,PG,UC Santa Barbara
9,"Williams, Cody",SF,Colorado,11/20/2004,19.6,"6'7.75""","7'1""",178,"9""","8'7""",31.0,35.5,11.17,2.93,3.06,9,9.71,11.0,6.0,11.0,12.0,12.0,8.0,8.0,24,18.0,28.4,11.9,0.7,2.3,3.0,1.6,0.6,0.7,2.0,2.0,4.5,8.1,0.552,3.8,6.4,0.588,0.7,1.7,0.415,2.3,3.2,0.714,0.707,15.1,0.9,2.9,3.8,2.0,0.8,0.9,2.5,2.5,5.7,8.1,2.2,4.1,https://www.sports-reference.com/cbb/players/cody-williams-2.html,0.14869779656764537,9.485658629890033,8.116789856362471,-1.0557326921728176,-0.2550072705520919,-1.838327453415409,0.36395487082399647,1.9007508944691158,0.11930963052259838,-2.0674093574735424,Cody Williams,95.0,10.0,Utah,Cody Williams,6-6,178.0,SG,Colorado
